Distance,Correlation,Abs_Correlation
Distance (22 to 35),-0.600563959469882,0.600563959469882
Distance (20 to 23),-0.6004920988114523,0.6004920988114523
Distance (20 to 26),-0.6004838160159106,0.6004838160159106
Distance (27 to 37),-0.6004309961880478,0.6004309961880478
Distance (25 to 62),-0.6002801392464423,0.6002801392464423
Distance (25 to 39),-0.6000751078267565,0.6000751078267565
Distance (19 to 62),-0.5999438816675785,0.5999438816675785
Distance (37 to 43),-0.5997634228611594,0.5997634228611594
Distance (46 to 63),-0.5997306710385149,0.5997306710385149
Distance (19 to 45),-0.5996960194765899,0.5996960194765899
Distance (41 to 44),-0.5995549451414037,0.5995549451414037
Distance (24 to 39),-0.5994531234078329,0.5994531234078329
Distance (46 to 64),-0.5994055212759113,0.5994055212759113
Distance (30 to 38),-0.5992994968239564,0.5992994968239564
Distance (22 to 63),-0.5992982918843137,0.5992982918843137
Distance (20 to 25),-0.5992333211846713,0.5992333211846713
Distance (26 to 63),-0.5991994019248367,0.5991994019248367
Distance (40 to 46),-0.5991453448116428,0.5991453448116428
Distance (20 to 61),-0.5990795724500512,0.5990795724500512
Distance (26 to 64),-0.5990570249829335,0.5990570249829335
Distance (20 to 60),-0.5990545613978341,0.5990545613978341
Distance (27 to 41),-0.5990336500861674,0.5990336500861674
Distance (19 to 46),-0.5990067849592101,0.5990067849592101
Distance (23 to 31),-0.5989410538899447,0.5989410538899447
Distance (21 to 44),-0.5988905917044923,0.5988905917044923
Distance (19 to 29),-0.5988636189242441,0.5988636189242441
Distance (18 to 62),-0.5987017091814134,0.5987017091814134
Distance (18 to 45),-0.5986908082714094,0.5986908082714094
Distance (20 to 24),-0.5986732931697878,0.5986732931697878
Distance (25 to 34),-0.5986137048759069,0.5986137048759069
Distance (32 to 45),-0.5986027629145397,0.5986027629145397
Distance (19 to 63),-0.5985996929342872,0.5985996929342872
Distance (22 to 40),-0.5985601889573199,0.5985601889573199
Distance (19 to 48),-0.5985343678081626,0.5985343678081626
Distance (39 to 64),-0.5985298606032953,0.5985298606032953
Distance (20 to 51),-0.5983342288287513,0.5983342288287513
Distance (22 to 33),-0.5983049322731722,0.5983049322731722
Distance (20 to 49),-0.5982763945642535,0.5982763945642535
Distance (24 to 52),-0.5982248455898761,0.5982248455898761
Distance (20 to 50),-0.5981707016064569,0.5981707016064569
Distance (44 to 62),-0.5981066906850934,0.5981066906850934
Distance (34 to 38),-0.5980945066951519,0.5980945066951519
Distance (26 to 28),-0.5980737965674341,0.5980737965674341
Distance (19 to 64),-0.5980625958241348,0.5980625958241348
Distance (41 to 48),-0.5980060194726942,0.5980060194726942
Distance (21 to 27),-0.5979583392461622,0.5979583392461622
Distance (24 to 54),-0.5979420426852007,0.5979420426852007
Distance (39 to 63),-0.5979138445087151,0.5979138445087151
Distance (35 to 38),-0.59783391226173,0.59783391226173
Distance (39 to 62),-0.597803168191549,0.597803168191549
Distance (24 to 31),-0.5977786844162758,0.5977786844162758
Distance (18 to 46),-0.5977371939227876,0.5977371939227876
Distance (39 to 43),-0.5975821279459193,0.5975821279459193
Distance (20 to 52),-0.5975456942079241,0.5975456942079241
Distance (23 to 39),-0.5974577132490656,0.5974577132490656
Distance (25 to 29),-0.5974447749650318,0.5974447749650318
Distance (45 to 52),-0.5974219823266664,0.5974219823266664
Distance (18 to 61),-0.5973636841399503,0.5973636841399503
Distance (36 to 38),-0.597330006423287,0.597330006423287
Distance (25 to 33),-0.5972654580458812,0.5972654580458812
Distance (24 to 53),-0.5972647790518912,0.5972647790518912
Distance (19 to 30),-0.5972566438625833,0.5972566438625833
Distance (19 to 26),-0.5972460167001995,0.5972460167001995
Distance (23 to 52),-0.5971270263827133,0.5971270263827133
Distance (22 to 62),-0.5969078869688573,0.5969078869688573
Distance (18 to 63),-0.5969059048663703,0.5969059048663703
Distance (21 to 52),-0.5969030782103367,0.5969030782103367
Distance (46 to 62),-0.5968460243149313,0.5968460243149313
Distance (26 to 62),-0.5967969122353213,0.5967969122353213
Distance (27 to 39),-0.5967239030593732,0.5967239030593732
Distance (20 to 53),-0.5967098950769295,0.5967098950769295
Distance (25 to 30),-0.5966951633776831,0.5966951633776831
Distance (20 to 59),-0.5966598493106109,0.5966598493106109
